"['Mazer Gaming', 'Team Empire']",May 23 18,de_mirage
"['Mazer Gaming', 'SyntheticDreamz']",May 30 18,de_train
"['Mazer Gaming', 'Thicc Sweaty Llamas']",Jun 5 18,de_train
"['Broken Alliance', 'Mazer Gaming']",Jun 6 18,de_overpass
"['Mazer Gaming', 'wat']",Jun 12 18,de_inferno
"['Mazer Gaming', 'Reality CS']",Jun 13 18,de_mirage
"['LoliBread', 'Mazer Gaming']",Jun 14 18,de_train
"['Mazer Gaming', 'Urban Assault']",Jun 14 18,de_mirage
"['Mazer Gaming', 'Never trying']",Jun 20 18,de_mirage
"['Mazer Gaming', 'Polar Ace']",Jun 25 18,de_mirage
"['Mazer Gaming', 'team w0w']",Jun 27 18,de_overpass
"['Defy Rebellion', 'Mazer Gaming']",Jun 29 18,de_mirage
"['Mazer Gaming', 'Team Texas']",Jul 6 18,de_mirage
"['Mazer Gaming', 'Midwest CSGO']",Jul 11 18,de_inferno
"['Gummy Dods', 'Mazer Gaming']",Jul 12 18,de_overpass
"['Flashpoint Gaming', 'Mazer Gaming']",Jul 20 18,de_inferno
"['Chill Town', 'Mazer Gaming']",Jul 30 18,Multiple
"['Mazer Gaming', 'No Shift Nation']",Aug 3 18,Multiple
"['Hit Squad', 'Mazer Gaming']",Aug 7 18,Multiple
"['FilthyCasuals', 'Mazer Gaming']",Aug 10 18,Multiple
"['Mazer Gaming', 'Midwest CSGO']",Aug 14 18,Multiple
"['Mazer Gaming', 'Squirtle Squad']",Aug 17 18,Multiple
"['Never trying', 'Squirtle Squad']",May 23 18,de_train
"['Squirtle Squad', 'Windex_Ninjas']",Jun 1 18,de_mirage
"['Squirtle Squad', 'Yee Yee Boys']",Jun 4 18,de_cache
"['Bad Intentions', 'Squirtle Squad']",Jun 12 18,de_mirage
"['LoS Pistoleros', 'Squirtle Squad']",Jun 13 18,de_cache
"['Falcons-GG', 'Squirtle Squad']",Jun 15 18,de_dust2
"['Decisive Esports', 'Squirtle Squad']",Jun 19 18,de_cache
"['Reality CS', 'Squirtle Squad']",Jun 21 18,de_inferno
